mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
groth16,60,0,2109494,445503,118716,235782,493.560800,286667,486.221100,321843,602.171700,69626,31.637300,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x0773ef8955c1084b5fe7ba081e11da2c692ec179c4e41ceb81c6628baac62b45
groth16,60,1,2109494,445503,118716,235734,664.036900,286607,647.328800,321783,580.500100,69626,30.446200,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1a4a2c58d1ceffab3ca17ad5275645c7915f4b3bef98177cd754df0277c94a71
groth16,60,2,2109494,445503,118716,235770,505.055400,286655,433.259300,321831,511.818000,69626,25.309100,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x0d5176959011efd17f31214e0c69169c90e2a0500150e419d2b09cdd7993ac98
groth16,60,3,2109494,445503,118716,235782,488.206100,286667,437.362200,321843,430.026800,69626,19.558200,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x0fa0ffc5a4c3991962f6830f08c186962414594363176ca508d655aad3d3b128
groth16,60,4,2109494,445503,118716,235746,404.858400,286631,388.388300,321807,440.638100,69626,20.593300,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x135e7d92360d7045d1c832ae14ba35a35aacc1f529edd6021a29bac91cb4667f
groth16,60,5,2109494,445503,118716,235770,414.818900,286643,451.760800,321819,409.630200,69614,31.462000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x008cf0908483a6321d57cb76c9de7ffd2d5be3c9d744b8d2eb93d93b97ce9868
groth16,60,6,2109494,445503,118716,235746,416.261200,286631,426.305200,321807,428.826100,69626,18.771200,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1fd2090c8d70264e7152bd8330abb6498f9613cb7d404de4b8dafdef0b994fba
groth16,60,7,2109494,445503,118716,235782,420.682900,286667,461.906700,321843,425.656900,69626,24.536500,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x044106fd59412a2f74d7ca1d2239e1d00613fd072ec087cbce54b393db238f1e
groth16,60,8,2109494,445503,118716,235782,433.989500,286667,440.368200,321843,423.248500,69626,21.753800,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x123734fb65c6144032ed2c44ba56f6e2ec63dc676050958be9b4ed074cb4a31d
groth16,60,9,2109494,445503,118716,235734,492.426100,286595,395.453000,321771,406.536500,69614,16.272600,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x008bdeada8ad9cc0de02f9acca393104418bfcc38dceb36dfe12337810856ed0
groth16,60,10,2109494,445503,118716,235734,470.387800,286619,460.626400,321795,427.995300,69626,19.562100,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x04644c53c3db9541d27a24fd87a1e35dd431821a88477468448925804eb3bec1
