mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier
groth16,500,0,147.703700,6.539900,614.608500,762.312200,19.971600,true,720,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16808077357830290284810510262971901513222293961668751951590422600035756875475
groth16,500,1,134.403700,6.539900,663.384900,797.788600,27.458400,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3203342991622345738528372141045914090299112299422856639913124076542510995674
groth16,500,2,166.431700,6.539900,753.700900,920.132600,22.061000,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,724645749298432839169758559696837743935437786027868845130426576861803971916
groth16,500,3,147.368600,6.539900,648.718300,796.086900,26.474400,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,14793556529192785442613530644599174526505570194166647657561315037187631232873
groth16,500,4,137.286000,6.539900,602.865100,740.151100,21.640600,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,19154991116108270734289943625155004530180046983788493617650355833962343996135
groth16,500,5,141.972600,6.539900,619.113300,761.085900,20.790600,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18440299688413105899231663340727998277124232193925416176039999821890714502129
groth16,500,6,121.076300,6.539900,641.854900,762.931200,21.902500,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,14506620037712120483898324531351740828051746226919349169989759207432734594192
groth16,500,7,135.677900,6.539900,600.161000,735.838900,20.720100,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2780449110797918880070151511913370097817183670180641359858164391718471589551
groth16,500,8,137.660200,6.539900,578.594000,716.254200,22.463800,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3726892596990765562982730348882240375388227910031096102960555561197327437685
groth16,500,9,131.520700,6.539900,689.218500,820.739200,21.111200,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12524593462772381769849403674365013390630256025546560796153819575950814560165
groth16,500,10,138.285100,6.539900,707.258300,845.543400,33.640900,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5278598216861662985542228727706545143128843606298933040248497827549211055050
groth16,500,11,133.615900,6.539900,559.097000,692.712900,18.535800,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16005266159572034087705184801456449321591930056517403972373193995180390281204
groth16,500,12,126.870500,6.539900,616.743200,743.613700,21.563600,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9910221084487858335304544014721714031194959820994355137372389860171403692733
groth16,500,13,127.449400,6.539900,561.326300,688.775700,17.742000,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2717292336745412386359775401273829861126982031602178936955874871272147835186
groth16,500,14,116.453100,6.539900,516.829800,633.282900,21.248800,true,726,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17349328147281655427294496638000878162132243300422230690402655433631234279209
groth16,500,15,125.060200,6.539900,533.360500,658.420700,17.800700,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,6507509797126957559023071974139883216430023156422641435067712884422393998528
groth16,500,16,112.296600,6.539900,511.556200,623.852800,20.908000,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,11604586715677220889597413947870517015687091205256217292760966854010083641880
groth16,500,17,117.401800,6.539900,537.201800,654.603600,19.705100,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,4883493316283758449916280684074381192314020596365587598388960409748281249360
groth16,500,18,121.555100,6.539900,580.937100,702.492200,17.926200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16483582914187371226404439687863109818100328318135051187745408765384303191750
groth16,500,19,116.940800,6.539900,538.616700,655.557500,18.838500,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18630966012134669556161999789978435102630197372132022413842145759401690480409
groth16,500,20,117.188700,6.539900,562.827700,680.016400,22.162000,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20817318044598229726152549371750825441749782696638504876075059102866767210167
groth16,500,21,127.425200,6.539900,523.844500,651.269700,18.810600,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20516526964725434700642244401867878491646317745539385787616110279505571070978
groth16,500,22,115.788600,6.539900,533.939700,649.728300,20.821200,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16259517095408339287579808750532443431878631598896098927811295273448436423802
groth16,500,23,115.798200,6.539900,532.108000,647.906200,19.187600,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,14880337500395185350201584099901949959207345465613631481458117614559214583685
groth16,500,24,129.825200,6.539900,526.934600,656.759800,20.301500,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,4681340981711808796419282407887250071578298652888330798713262394396722434075
groth16,500,25,115.411700,6.539900,528.614500,644.026200,18.338800,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,459896106527946188998726532977061527503958619976938568871916745244264035589
groth16,500,26,121.009900,6.539900,579.286300,700.296200,24.004200,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,13738129838290467806356031405015254470869573451463443572077825279597092574366
groth16,500,27,123.082200,6.539900,533.355900,656.438100,17.201000,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15654886012577343724020514856841234075578569420043406761150839375128983813015
groth16,500,28,133.851700,6.539900,551.500900,685.352600,19.038400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,230118100276310328744583695311874327819855381791285419008183005958273876497
groth16,500,29,115.928200,6.539900,531.327300,647.255500,18.212500,true,726,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,7941980749679342876022600379252405625622149474789509793789798398215365343897
