branch,run_at,git_commit,chain_id,condition,condition_name,standard_id,standard_ref,standard_clause,standard_quote,quote_status,verdict,evidence_name,value,meaning
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,currentRoot,0x2fe6349b77f8b704a4b6fda6a67fa440bb1a7ac8a5722ef77d23ee9340b379ca,root hien tai doc thang tu contract
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,validRoot,✓,contract tu xac nhan root nay da duoc duyet
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,usedNullifier,✓,contract tu bao nullifier nay da tieu
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,contractEvents,Deposit | Deposit | RootUpdated | CommitmentsPublished | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw,chuoi su kien nguoi ngoai doc duoc
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,transactionHash,0x7e2e579c64ced847d5f7f0eb520dfd5fd00de6f305a76003b4eaa9a921a3bc07,giao dich rut - tra nguoc duoc tren explorer
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M2,Interpretable presentation,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.2 (Audit review)",provide the audit data in a manner suitable for the user to interpret the information,verbatim,pass,evidenceCellsWithReason,5 / 28,"so o bang chung ghi dang dau tick KEM LY DO, khong phai true/false tran"
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M2,Interpretable presentation,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.2 (Audit review)",provide the audit data in a manner suitable for the user to interpret the information,verbatim,pass,example,"validRoot = ✓ the contract confirms this root was approved earlier, so anyone can check the withdrawal used a root the university had published","mot o lam vi du - doc la hieu, khong phai tra bang"
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M3,No trusted third party,NIST IR 8202 - Blockchain Technology Overview,DOI 10.6028/NIST.IR.8202,"Sect. 4 (Consensus Models), p. 18",there is no need to have a trusted third party provide the state of the system - every user within the system can verify the system's integrity,verbatim,by_design_not_met,proofVerifiedOnChain,✗,hop dong co tu kiem proof khong - doc tu ABI ham withdraw
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M3,No trusted third party,NIST IR 8202 - Blockchain Technology Overview,DOI 10.6028/NIST.IR.8202,"Sect. 4 (Consensus Models), p. 18",there is no need to have a trusted third party provide the state of the system - every user within the system can verify the system's integrity,verbatim,by_design_not_met,verifiedBy,university backend (off-chain),ai la ben thuc su kiem proof
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,M3,No trusted third party,NIST IR 8202 - Blockchain Technology Overview,DOI 10.6028/NIST.IR.8202,"Sect. 4 (Consensus Models), p. 18",there is no need to have a trusted third party provide the state of the system - every user within the system can verify the system's integrity,verbatim,by_design_not_met,verifiableAxesPassed,1 of 2 (A: proof re-checkable | B: root re-buildable),"so truc kiem chung dat: A = proof kiem lai duoc, B = root dung lai duoc"
