thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_d,offchain,d1,2,1,8,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_d,offchain,d1,2,1,8,update_root_gas,moi_luot,20,20,73830,0,73830,73830,gas,lap20
theo_d,offchain,d1,2,1,8,withdraw_gas,moi_lan_do,20,40,64637,6.076436,64631,64643,gas,lap20
theo_d,offchain,d1,2,1,8,withdraw_ms,moi_lan_do,20,40,37.07877,12.492575,20.7321,70.2097,ms,lap20
theo_d,offchain,d1,2,1,8,witness_ms,moi_lan_do,20,40,0.352232,0.04304,0.2509,0.4312,ms,lap20
theo_d,offchain,d1,2,1,8,setup_ms,moi_luot,20,20,73.030315,22.275927,58.5195,134.4071,ms,lap20
theo_d,offchain,d1,2,1,8,prove_ms,moi_lan_do,20,40,124.729297,14.279754,98.8863,158.5412,ms,lap20
theo_d,offchain,d1,2,1,8,proof_generation_ms,moi_lan_do,20,40,125.08153,14.31273,99.1372,158.9621,ms,lap20
theo_d,offchain,d1,2,1,8,verify_native_ms,moi_lan_do,20,40,5.26373,0.53988,4.2057,6.5352,ms,lap20
theo_d,offchain,d1,2,1,8,proof_bytes,moi_luot,20,20,3008,0,3008,3008,B,lap20
