run_id,metric,N,mean
1,deploy_pool_gas,16,968565
1,update_root_gas,16,84666
1,withdraw_gas,16,64664
1,withdraw_ms,16,36.375275
1,witness_ms,16,0.763038
1,setup_ms,16,94.2886
1,prove_ms,16,205.987025
1,proof_generation_ms,16,206.750062
1,verify_native_ms,16,7.886944
1,proof_bytes,16,3104
2,deploy_pool_gas,16,968565
2,update_root_gas,16,84666
2,withdraw_gas,16,64664
2,withdraw_ms,16,31.550619
2,witness_ms,16,0.669369
2,setup_ms,16,91.2613
2,prove_ms,16,190.37595
2,proof_generation_ms,16,191.045319
2,verify_native_ms,16,7.268287
2,proof_bytes,16,3104
3,deploy_pool_gas,16,968565
3,update_root_gas,16,84666
3,withdraw_gas,16,64664
3,withdraw_ms,16,34.250819
3,witness_ms,16,0.668769
3,setup_ms,16,97.2934
3,prove_ms,16,193.662094
3,proof_generation_ms,16,194.330862
3,verify_native_ms,16,7.453863
3,proof_bytes,16,3104
4,deploy_pool_gas,16,968565
4,update_root_gas,16,84666
4,withdraw_gas,16,64664
4,withdraw_ms,16,34.197975
4,witness_ms,16,0.698175
4,setup_ms,16,93.654
4,prove_ms,16,205.098006
4,proof_generation_ms,16,205.796181
4,verify_native_ms,16,8.00375
4,proof_bytes,16,3104
5,deploy_pool_gas,16,968565
5,update_root_gas,16,84666
5,withdraw_gas,16,64664
5,withdraw_ms,16,31.464438
5,witness_ms,16,0.804388
5,setup_ms,16,94.3552
5,prove_ms,16,197.189131
5,proof_generation_ms,16,197.993519
5,verify_native_ms,16,7.601975
5,proof_bytes,16,3104
6,deploy_pool_gas,16,968565
6,update_root_gas,16,84666
6,withdraw_gas,16,64664
6,withdraw_ms,16,23.188688
6,witness_ms,16,0.734469
6,setup_ms,16,112.7443
6,prove_ms,16,208.230375
6,proof_generation_ms,16,208.964844
6,verify_native_ms,16,7.765263
6,proof_bytes,16,3104
7,deploy_pool_gas,16,968565
7,update_root_gas,16,84666
7,withdraw_gas,16,64664
7,withdraw_ms,16,27.606819
7,witness_ms,16,0.768269
7,setup_ms,16,92.3113
7,prove_ms,16,195.063144
7,proof_generation_ms,16,195.831412
7,verify_native_ms,16,7.345519
7,proof_bytes,16,3104
8,deploy_pool_gas,16,968565
8,update_root_gas,16,84666
8,withdraw_gas,16,64664
8,withdraw_ms,16,34.024869
8,witness_ms,16,0.763694
8,setup_ms,16,96.1036
8,prove_ms,16,214.730781
8,proof_generation_ms,16,215.494475
8,verify_native_ms,16,8.406
8,proof_bytes,16,3104
9,deploy_pool_gas,16,968565
9,update_root_gas,16,84666
9,withdraw_gas,16,64664
9,withdraw_ms,16,36.346063
9,witness_ms,16,0.990175
9,setup_ms,16,115.9477
9,prove_ms,16,264.407363
9,proof_generation_ms,16,265.397537
9,verify_native_ms,16,10.235231
9,proof_bytes,16,3104
10,deploy_pool_gas,16,968565
10,update_root_gas,16,84666
10,withdraw_gas,16,64664
10,withdraw_ms,16,34.325287
10,witness_ms,16,0.701575
10,setup_ms,16,93.8001
10,prove_ms,16,199.488675
10,proof_generation_ms,16,200.19025
10,verify_native_ms,16,8.058744
10,proof_bytes,16,3104
11,deploy_pool_gas,16,968565
11,update_root_gas,16,84666
11,withdraw_gas,16,64664
11,withdraw_ms,16,25.863975
11,witness_ms,16,0.739863
11,setup_ms,16,98.4759
11,prove_ms,16,199.273625
11,proof_generation_ms,16,200.013487
11,verify_native_ms,16,7.9315
11,proof_bytes,16,3104
12,deploy_pool_gas,16,968565
12,update_root_gas,16,84666
12,withdraw_gas,16,64664
12,withdraw_ms,16,32.651956
12,witness_ms,16,0.737513
12,setup_ms,16,96.5563
12,prove_ms,16,206.034112
12,proof_generation_ms,16,206.771625
12,verify_native_ms,16,7.829994
12,proof_bytes,16,3104
13,deploy_pool_gas,16,968565
13,update_root_gas,16,84666
13,withdraw_gas,16,64664
13,withdraw_ms,16,30.068794
13,witness_ms,16,0.739437
13,setup_ms,16,96.6303
13,prove_ms,16,196.13795
13,proof_generation_ms,16,196.877387
13,verify_native_ms,16,7.816412
13,proof_bytes,16,3104
14,deploy_pool_gas,16,968565
14,update_root_gas,16,84666
14,withdraw_gas,16,64664
14,withdraw_ms,16,34.097788
14,witness_ms,16,0.6926
14,setup_ms,16,119.7572
14,prove_ms,16,196.668206
14,proof_generation_ms,16,197.360806
14,verify_native_ms,16,7.7594
14,proof_bytes,16,3104
15,deploy_pool_gas,16,968565
15,update_root_gas,16,84666
15,withdraw_gas,16,64664
15,withdraw_ms,16,34.423337
15,witness_ms,16,0.751487
15,setup_ms,16,95.9298
15,prove_ms,16,203.626375
15,proof_generation_ms,16,204.377862
15,verify_native_ms,16,8.026925
15,proof_bytes,16,3104
16,deploy_pool_gas,16,968565
16,update_root_gas,16,84666
16,withdraw_gas,16,64664
16,withdraw_ms,16,39.194981
16,witness_ms,16,0.734944
16,setup_ms,16,95.0218
16,prove_ms,16,210.559406
16,proof_generation_ms,16,211.29435
16,verify_native_ms,16,7.887944
16,proof_bytes,16,3104
17,deploy_pool_gas,16,968565
17,update_root_gas,16,84666
17,withdraw_gas,16,64664
17,withdraw_ms,16,32.407363
17,witness_ms,16,0.71445
17,setup_ms,16,94.6857
17,prove_ms,16,193.010931
17,proof_generation_ms,16,193.725381
17,verify_native_ms,16,7.545987
17,proof_bytes,16,3104
18,deploy_pool_gas,16,968565
18,update_root_gas,16,84666
18,withdraw_gas,16,64664
18,withdraw_ms,16,34.450281
18,witness_ms,16,0.78725
18,setup_ms,16,110.9758
18,prove_ms,16,199.559244
18,proof_generation_ms,16,200.346494
18,verify_native_ms,16,8.210644
18,proof_bytes,16,3104
19,deploy_pool_gas,16,968565
19,update_root_gas,16,84666
19,withdraw_gas,16,64664
19,withdraw_ms,16,32.142075
19,witness_ms,16,0.737125
19,setup_ms,16,95.4279
19,prove_ms,16,199.588387
19,proof_generation_ms,16,200.325513
19,verify_native_ms,16,7.854919
19,proof_bytes,16,3104
20,deploy_pool_gas,16,968565
20,update_root_gas,16,84666
20,withdraw_gas,16,64664
20,withdraw_ms,16,27.437825
20,witness_ms,16,0.741419
20,setup_ms,16,98.3207
20,prove_ms,16,193.535431
20,proof_generation_ms,16,194.27685
20,verify_native_ms,16,7.854031
20,proof_bytes,16,3104
