run_id,metric,N,mean
1,deploy_pool_gas,100,968565
1,update_root_gas,100,149571
1,withdraw_gas,100,64664.72
1,withdraw_ms,100,24.868589
1,witness_ms,100,1.32739
1,setup_ms,100,122.613601
1,prove_ms,100,195.592754
1,proof_generation_ms,100,196.920144
1,verify_native_ms,100,6.784507
1,proof_bytes,100,3104
1,verify_setup_ms,100,90.831528
2,deploy_pool_gas,100,968565
2,update_root_gas,100,149571
2,withdraw_gas,100,64664.72
2,withdraw_ms,100,27.425289
2,witness_ms,100,1.475171
2,setup_ms,100,128.445777
2,prove_ms,100,207.930902
2,proof_generation_ms,100,209.406073
2,verify_native_ms,100,7.223593
2,proof_bytes,100,3104
2,verify_setup_ms,100,95.760578
3,deploy_pool_gas,100,968565
3,update_root_gas,100,149571
3,withdraw_gas,100,64664.72
3,withdraw_ms,100,26.792508
3,witness_ms,100,1.479916
3,setup_ms,100,129.683974
3,prove_ms,100,208.539061
3,proof_generation_ms,100,210.018977
3,verify_native_ms,100,7.265238
3,proof_bytes,100,3104
3,verify_setup_ms,100,97.325697
4,deploy_pool_gas,100,968565
4,update_root_gas,100,149571
4,withdraw_gas,100,64664.72
4,withdraw_ms,100,27.271858
4,witness_ms,100,1.487535
4,setup_ms,100,129.513049
4,prove_ms,100,210.955431
4,proof_generation_ms,100,212.442966
4,verify_native_ms,100,7.27158
4,proof_bytes,100,3104
4,verify_setup_ms,100,96.642523
5,deploy_pool_gas,100,968565
5,update_root_gas,100,149571
5,withdraw_gas,100,64664.72
5,withdraw_ms,100,28.181906
5,witness_ms,100,1.509033
5,setup_ms,100,132.331375
5,prove_ms,100,218.99655
5,proof_generation_ms,100,220.505583
5,verify_native_ms,100,7.558967
5,proof_bytes,100,3104
5,verify_setup_ms,100,100.058639
6,deploy_pool_gas,100,968565
6,update_root_gas,100,149571
6,withdraw_gas,100,64664.72
6,withdraw_ms,100,28.519328
6,witness_ms,100,1.433716
6,setup_ms,100,127.318208
6,prove_ms,100,206.874931
6,proof_generation_ms,100,208.308647
6,verify_native_ms,100,7.092894
6,proof_bytes,100,3104
6,verify_setup_ms,100,95.771662
7,deploy_pool_gas,100,968565
7,update_root_gas,100,149571
7,withdraw_gas,100,64664.72
7,withdraw_ms,100,27.777431
7,witness_ms,100,1.444401
7,setup_ms,100,126.611097
7,prove_ms,100,207.108041
7,proof_generation_ms,100,208.552442
7,verify_native_ms,100,7.156539
7,proof_bytes,100,3104
7,verify_setup_ms,100,95.628143
8,deploy_pool_gas,100,968565
8,update_root_gas,100,149571
8,withdraw_gas,100,64664.72
8,withdraw_ms,100,26.384293
8,witness_ms,100,1.430808
8,setup_ms,100,127.552929
8,prove_ms,100,205.280519
8,proof_generation_ms,100,206.711327
8,verify_native_ms,100,7.141806
8,proof_bytes,100,3104
8,verify_setup_ms,100,94.731732
9,deploy_pool_gas,100,968565
9,update_root_gas,100,149571
9,withdraw_gas,100,64664.72
9,withdraw_ms,100,27.457081
9,witness_ms,100,1.441972
9,setup_ms,100,125.045958
9,prove_ms,100,206.045357
9,proof_generation_ms,100,207.487329
9,verify_native_ms,100,7.130939
9,proof_bytes,100,3104
9,verify_setup_ms,100,94.559838
10,deploy_pool_gas,100,968565
10,update_root_gas,100,149571
10,withdraw_gas,100,64664.72
10,withdraw_ms,100,27.836414
10,witness_ms,100,1.438652
10,setup_ms,100,127.245403
10,prove_ms,100,204.311611
10,proof_generation_ms,100,205.750263
10,verify_native_ms,100,7.11583
10,proof_bytes,100,3104
10,verify_setup_ms,100,94.370868
11,deploy_pool_gas,100,968565
11,update_root_gas,100,149571
11,withdraw_gas,100,64664.72
11,withdraw_ms,100,27.001327
11,witness_ms,100,1.418199
11,setup_ms,100,126.215464
11,prove_ms,100,205.631396
11,proof_generation_ms,100,207.049595
11,verify_native_ms,100,7.636177
11,proof_bytes,100,3104
11,verify_setup_ms,100,94.897077
12,deploy_pool_gas,100,968565
12,update_root_gas,100,149571
12,withdraw_gas,100,64664.72
12,withdraw_ms,100,27.494961
12,witness_ms,100,1.435007
12,setup_ms,100,125.971645
12,prove_ms,100,207.143375
12,proof_generation_ms,100,208.578382
12,verify_native_ms,100,7.064845
12,proof_bytes,100,3104
12,verify_setup_ms,100,94.932902
13,deploy_pool_gas,100,968565
13,update_root_gas,100,149571
13,withdraw_gas,100,64664.72
13,withdraw_ms,100,28.012216
13,witness_ms,100,1.471727
13,setup_ms,100,128.559698
13,prove_ms,100,211.823024
13,proof_generation_ms,100,213.294751
13,verify_native_ms,100,7.28073
13,proof_bytes,100,3104
13,verify_setup_ms,100,97.646535
14,deploy_pool_gas,100,968565
14,update_root_gas,100,149571
14,withdraw_gas,100,64664.72
14,withdraw_ms,100,27.534791
14,witness_ms,100,1.460438
14,setup_ms,100,129.352643
14,prove_ms,100,213.995656
14,proof_generation_ms,100,215.456094
14,verify_native_ms,100,7.113574
14,proof_bytes,100,3104
