thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_n,offchain,n60,60,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n60,60,9,9,update_root_gas,moi_luot,20,20,118742,0,118742,118742,gas,lap20
theo_n,offchain,n60,60,9,9,withdraw_gas,moi_lan_do,20,1200,64664.4,5.409657,64643,64667,gas,lap20
theo_n,offchain,n60,60,9,9,withdraw_ms,moi_lan_do,20,1200,31.789343,12.048478,17.7724,136.8747,ms,lap20
theo_n,offchain,n60,60,9,9,witness_ms,moi_lan_do,20,1200,1.26546,0.368565,0.9062,5.3715,ms,lap20
theo_n,offchain,n60,60,9,9,setup_ms,moi_luot,20,20,106.526735,10.13701,87.9945,131.416,ms,lap20
theo_n,offchain,n60,60,9,9,prove_ms,moi_lan_do,20,1200,209.075795,23.455972,160.2971,425.4455,ms,lap20
theo_n,offchain,n60,60,9,9,proof_generation_ms,moi_lan_do,20,1200,210.341255,23.589393,161.2492,426.9385,ms,lap20
theo_n,offchain,n60,60,9,9,verify_native_ms,moi_lan_do,20,1200,7.849065,2.48317,5.5539,55.3391,ms,lap20
theo_n,offchain,n60,60,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
