thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_n,offchain,n1,1,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n1,1,9,9,update_root_gas,moi_luot,20,20,73092,0,73092,73092,gas,lap20
theo_n,offchain,n1,1,9,9,withdraw_gas,moi_luot,20,20,64667,0,64667,64667,gas,lap20
theo_n,offchain,n1,1,9,9,withdraw_ms,moi_luot,20,20,31.38966,7.395018,22.3443,49.8124,ms,lap20
theo_n,offchain,n1,1,9,9,witness_ms,moi_luot,20,20,1.39856,0.15741,0.9555,1.6699,ms,lap20
theo_n,offchain,n1,1,9,9,setup_ms,moi_luot,20,20,132.9612,39.685892,88.1978,283.7435,ms,lap20
theo_n,offchain,n1,1,9,9,prove_ms,moi_luot,20,20,210.037525,37.777372,144.2995,347.4209,ms,lap20
theo_n,offchain,n1,1,9,9,proof_generation_ms,moi_luot,20,20,211.436085,37.827308,145.255,348.8533,ms,lap20
theo_n,offchain,n1,1,9,9,verify_native_ms,moi_luot,20,20,7.320985,1.825968,4.8388,14.7615,ms,lap20
theo_n,offchain,n1,1,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
theo_n,offchain,n1,1,9,9,verify_setup_ms,moi_luot,20,20,101.17482,36.898284,69.2106,255.8664,ms,lap20
theo_n,offchain,n10,10,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n10,10,9,9,update_root_gas,moi_luot,20,20,80046,0,80046,80046,gas,lap20
theo_n,offchain,n10,10,9,9,withdraw_gas,moi_lan_do,20,200,64664.6,4.812045,64655,64667,gas,lap20
theo_n,offchain,n10,10,9,9,withdraw_ms,moi_lan_do,20,200,29.408619,8.482019,18.0226,89.4493,ms,lap20
theo_n,offchain,n10,10,9,9,witness_ms,moi_lan_do,20,200,1.434165,0.173124,0.9146,2.4581,ms,lap20
theo_n,offchain,n10,10,9,9,setup_ms,moi_lan_do,20,200,127.506772,14.600366,88.3302,190.5801,ms,lap20
theo_n,offchain,n10,10,9,9,prove_ms,moi_lan_do,20,200,208.634379,22.886376,143.2561,340.3262,ms,lap20
theo_n,offchain,n10,10,9,9,proof_generation_ms,moi_lan_do,20,200,210.068545,22.979928,144.1707,341.9983,ms,lap20
theo_n,offchain,n10,10,9,9,verify_native_ms,moi_lan_do,20,200,7.257834,0.70476,4.886,11.3781,ms,lap20
theo_n,offchain,n10,10,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
theo_n,offchain,n10,10,9,9,verify_setup_ms,moi_lan_do,20,200,96.746933,12.354308,67.9454,205.843,ms,lap20
theo_n,offchain,n30,30,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n30,30,9,9,update_root_gas,moi_luot,20,20,95420,0,95420,95420,gas,lap20
theo_n,offchain,n30,30,9,9,withdraw_gas,moi_lan_do,20,600,64663.8,6.150044,64643,64667,gas,lap20
theo_n,offchain,n30,30,9,9,withdraw_ms,moi_lan_do,20,600,28.007425,7.13769,17.5171,88.7542,ms,lap20
theo_n,offchain,n30,30,9,9,witness_ms,moi_lan_do,20,600,1.450675,0.137283,1.1348,2.44,ms,lap20
theo_n,offchain,n30,30,9,9,setup_ms,moi_lan_do,20,600,128.637379,12.27352,106.672,250.8772,ms,lap20
theo_n,offchain,n30,30,9,9,prove_ms,moi_lan_do,20,600,209.707248,17.267939,184.5844,429.9414,ms,lap20
theo_n,offchain,n30,30,9,9,proof_generation_ms,moi_lan_do,20,600,211.157923,17.281001,185.7192,431.3821,ms,lap20
theo_n,offchain,n30,30,9,9,verify_native_ms,moi_lan_do,20,600,7.369038,1.887383,5.9846,51.5502,ms,lap20
theo_n,offchain,n30,30,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
theo_n,offchain,n30,30,9,9,verify_setup_ms,moi_lan_do,20,600,96.198025,6.082956,80.4685,155.2345,ms,lap20
theo_n,offchain,n60,60,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n60,60,9,9,update_root_gas,moi_luot,20,20,118742,0,118742,118742,gas,lap20
theo_n,offchain,n60,60,9,9,withdraw_gas,moi_lan_do,20,1200,64664.4,5.409657,64643,64667,gas,lap20
theo_n,offchain,n60,60,9,9,withdraw_ms,moi_lan_do,20,1200,27.44044,7.005978,18.407,82.4656,ms,lap20
theo_n,offchain,n60,60,9,9,witness_ms,moi_lan_do,20,1200,1.449912,0.166656,0.8339,2.5789,ms,lap20
theo_n,offchain,n60,60,9,9,setup_ms,moi_lan_do,20,1200,129.231981,20.569625,96.9843,529.6282,ms,lap20
theo_n,offchain,n60,60,9,9,prove_ms,moi_lan_do,20,1200,208.619275,20.619161,155.7703,471.0763,ms,lap20
theo_n,offchain,n60,60,9,9,proof_generation_ms,moi_lan_do,20,1200,210.069187,20.683873,156.7609,473.1456,ms,lap20
theo_n,offchain,n60,60,9,9,verify_native_ms,moi_lan_do,20,1200,7.214233,0.694743,5.4829,23.602,ms,lap20
theo_n,offchain,n60,60,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
theo_n,offchain,n60,60,9,9,verify_setup_ms,moi_lan_do,20,1200,96.246905,8.932676,74.7072,223.5594,ms,lap20
theo_n,offchain,n100,100,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n100,100,9,9,update_root_gas,moi_luot,20,20,149571,0,149571,149571,gas,lap20
theo_n,offchain,n100,100,9,9,withdraw_gas,moi_lan_do,20,2000,64664.72,5.00541,64643,64667,gas,lap20
theo_n,offchain,n100,100,9,9,withdraw_ms,moi_lan_do,20,2000,27.229129,6.758472,17.3685,80.5314,ms,lap20
theo_n,offchain,n100,100,9,9,witness_ms,moi_lan_do,20,2000,1.447048,0.151023,1.1466,2.6952,ms,lap20
theo_n,offchain,n100,100,9,9,setup_ms,moi_lan_do,20,2000,127.864994,14.821109,103.1766,411.6839,ms,lap20
theo_n,offchain,n100,100,9,9,prove_ms,moi_lan_do,20,2000,208.224677,20.641377,174.3582,626.8895,ms,lap20
theo_n,offchain,n100,100,9,9,proof_generation_ms,moi_lan_do,20,2000,209.671725,20.664369,175.5048,628.2794,ms,lap20
theo_n,offchain,n100,100,9,9,verify_native_ms,moi_lan_do,20,2000,7.216972,1.552708,5.8415,62.0019,ms,lap20
theo_n,offchain,n100,100,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
theo_n,offchain,n100,100,9,9,verify_setup_ms,moi_lan_do,20,2000,95.862977,8.505307,75.5736,265.9988,ms,lap20
theo_n,offchain,n500,500,9,9,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_n,offchain,n500,500,9,9,update_root_gas,moi_luot,20,20,459074,0,459074,459074,gas,lap20
theo_n,offchain,n500,500,9,9,withdraw_gas,moi_lan_do,20,10000,64664.816,4.989653,64643,64667,gas,lap20
theo_n,offchain,n500,500,9,9,withdraw_ms,moi_lan_do,20,10000,26.210927,6.7799,16.0106,139.8271,ms,lap20
theo_n,offchain,n500,500,9,9,witness_ms,moi_lan_do,20,10000,1.438899,0.167902,0.9031,7.8308,ms,lap20
theo_n,offchain,n500,500,9,9,setup_ms,moi_lan_do,20,10000,127.278358,15.842974,86.8771,591.8524,ms,lap20
theo_n,offchain,n500,500,9,9,prove_ms,moi_lan_do,20,10000,207.327467,20.555273,140.0797,685.3726,ms,lap20
theo_n,offchain,n500,500,9,9,proof_generation_ms,moi_lan_do,20,10000,208.766366,20.60085,141.0216,687.2882,ms,lap20
theo_n,offchain,n500,500,9,9,verify_native_ms,moi_lan_do,20,10000,7.205275,1.14087,4.8871,57.4105,ms,lap20
theo_n,offchain,n500,500,9,9,proof_bytes,moi_luot,20,20,3104,0,3104,3104,B,lap20
theo_n,offchain,n500,500,9,9,verify_setup_ms,moi_lan_do,20,10000,95.473882,8.539088,67.6715,275.5851,ms,lap20
