mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier,verify_setup_ms
offchain,30,0,0.860300,95.616300,149.904600,150.764900,5.225800,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x143f0e45d55dd71715f4a50e0bb438239cd3476939af0f5502be9dbe713290e6,73.893600
offchain,30,1,0.926800,93.886100,155.541400,156.468200,4.971600,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x32bb39b3dcd7b8e894a429a9c9d35f900ec300aec00d964ed7cf792e2d7aacc0,78.738200
offchain,30,2,0.999200,95.876100,150.412500,151.411700,4.935000,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x1c7e332983c7cddfb035f9242194c0060fdf2319630451ac02a1f3e0bac03fed,71.922200
offchain,30,3,0.952300,91.162900,146.928300,147.880600,4.768200,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x2740b3b79f4b1fadd8a2e0ce271c539a0d9620535667d8d78a5bfb2d4dd3d1b4,69.780900
offchain,30,4,0.896400,88.303300,145.060100,145.956500,4.723200,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x1cfa794b8ebb654958d500e9958ec5ee1c2dd6bc4c98425aac39963fe15240d1,68.746300
offchain,30,5,0.959600,89.860500,150.412600,151.372200,5.316000,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x32c06c637a424ec4e375f1268b252b9c632cba902e5fc187742e8314a84dba73,70.392300
offchain,30,6,0.925100,89.213900,191.797600,192.722700,4.784900,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x36256dc103e069b2a2a67a19a23abfe610bdc11885c2c2b930fd1c66234c7b05,68.296400
offchain,30,7,0.942600,87.831500,145.417300,146.359900,5.247200,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x0330fa39e203dd2729dfe1d09f8d52210a0b30fd62388a4415fee53d0547a51d,77.493500
offchain,30,8,0.990900,100.420700,187.315100,188.306000,5.846100,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x097f5329e03ea16c5779bc3c7533356ff9329140823d8ede7ce6be970c54dd9c,99.083000
offchain,30,9,0.978700,99.743100,169.932300,170.911000,4.846300,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x18f0c2109e55336343b903e9afe22599e303353f96c2a920bbcef4af3185b2ed,70.270700
offchain,30,10,0.953200,93.083400,142.338100,143.291300,4.986500,true,3104,,0x0995fdb65bfe2a42861a6b8f5376bdb89a5c8d090c80a5be050b43efecc2ed28,0x158e0237877be75eb22a36198a987a45bc92e39c0c4bbf57903dc61bd8151878,68.124000
