branch,run_at,git_commit,chain_id,condition,condition_name,standard_id,standard_ref,standard_clause,standard_quote,quote_status,verdict,evidence_name,value,meaning
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,currentRoot,0x098b50423eb1b80e5a7fb520438bb4f17cbf6c9b9e6ebef7938342aa2df694fe,root hien tai doc thang tu contract
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,validRoot,✓,contract tu xac nhan root nay da duoc duyet
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,usedNullifier,✓,contract tu bao nullifier nay da tieu
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,contractEvents,Deposit | Deposit | RootUpdated | CommitmentsPublished | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw,chuoi su kien nguoi ngoai doc duoc
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M1,State readability,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.1 (Audit review)",provide ... the capability to read ... from the audit data,verbatim,pass,transactionHash,0xd72e986a397b78b236684580c709a2b830b83e59f9e1473f683bc20098721948,giao dich rut - tra nguoc duoc tren explorer
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M2,Interpretable presentation,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.2 (Audit review)",provide the audit data in a manner suitable for the user to interpret the information,verbatim,pass,evidenceCellsWithReason,5 / 29,"so o bang chung ghi dang dau tick KEM LY DO, khong phai true/false tran"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M2,Interpretable presentation,ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 8.5.8, FAU_SAR.1.2 (Audit review)",provide the audit data in a manner suitable for the user to interpret the information,verbatim,pass,example,"validRoot = ✓ the contract confirms this root was approved earlier, so anyone can check the withdrawal used a root the university had published","mot o lam vi du - doc la hieu, khong phai tra bang"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M3,No trusted third party,NIST IR 8202 - Blockchain Technology Overview,DOI 10.6028/NIST.IR.8202,"Sect. 4 (Consensus Models), p. 18",there is no need to have a trusted third party provide the state of the system - every user within the system can verify the system's integrity,verbatim,pass,proofVerifiedOnChain,✓,hop dong co tu kiem proof khong - doc tu ABI ham withdraw
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M3,No trusted third party,NIST IR 8202 - Blockchain Technology Overview,DOI 10.6028/NIST.IR.8202,"Sect. 4 (Consensus Models), p. 18",there is no need to have a trusted third party provide the state of the system - every user within the system can verify the system's integrity,verbatim,pass,verifiedBy,on-chain verifier contract,ai la ben thuc su kiem proof
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,M3,No trusted third party,NIST IR 8202 - Blockchain Technology Overview,DOI 10.6028/NIST.IR.8202,"Sect. 4 (Consensus Models), p. 18",there is no need to have a trusted third party provide the state of the system - every user within the system can verify the system's integrity,verbatim,pass,verifiableAxesPassed,2 of 2 (A: proof re-checkable | B: root re-buildable),"so truc kiem chung dat: A = proof kiem lai duoc, B = root dung lai duoc"
