branch,run_at,git_commit,chain_id,condition,condition_name,standard_id,standard_ref,standard_clause,standard_quote,quote_status,verdict,evidence_name,value,meaning
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R1,Anonymity set,RFC 6973 - Privacy Considerations for Internet Protocols,DOI 10.17487/RFC6973,"Sect. 3.3 (Terminology), definition of ""Anonymity set""","A set of individuals that have the same attributes, making them indistinguishable from each other from the perspective of a particular attacker or observer",verbatim,pass,anonymitySetFromChain,500,"so la trong root da cong bo = CAN TREN cua tap an danh, dem tu su kien chu khong tu runner"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R1,Anonymity set,RFC 6973 - Privacy Considerations for Internet Protocols,DOI 10.17487/RFC6973,"Sect. 3.3 (Terminology), definition of ""Anonymity set""","A set of individuals that have the same attributes, making them indistinguishable from each other from the perspective of a particular attacker or observer",verbatim,pass,withdrawEventsObserved,500,so su kien Withdraw dem duoc tren chuoi
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R1,Anonymity set,RFC 6973 - Privacy Considerations for Internet Protocols,DOI 10.17487/RFC6973,"Sect. 3.3 (Terminology), definition of ""Anonymity set""","A set of individuals that have the same attributes, making them indistinguishable from each other from the perspective of a particular attacker or observer",verbatim,pass,distinctRecipients,500,so dia chi nhan KHAC NHAU trong so su kien do
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R1,Anonymity set,RFC 6973 - Privacy Considerations for Internet Protocols,DOI 10.17487/RFC6973,"Sect. 3.3 (Terminology), definition of ""Anonymity set""","A set of individuals that have the same attributes, making them indistinguishable from each other from the perspective of a particular attacker or observer",verbatim,pass,distinctAmounts,1 (2),so MUC TIEN khac nhau. Bang 1 nghia la so tien khong phan biet duoc ai voi ai
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R1,Anonymity set,RFC 6973 - Privacy Considerations for Internet Protocols,DOI 10.17487/RFC6973,"Sect. 3.3 (Terminology), definition of ""Anonymity set""","A set of individuals that have the same attributes, making them indistinguishable from each other from the perspective of a particular attacker or observer",verbatim,pass,withdrawSample,0x70997970... = 2 | 0x527601C7... = 2 | 0x100dD58b... = 2,ba su kien dau: dia chi nhan = so tien. Doi chieu tay duoc
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R1,Anonymity set,RFC 6973 - Privacy Considerations for Internet Protocols,DOI 10.17487/RFC6973,"Sect. 3.3 (Terminology), definition of ""Anonymity set""","A set of individuals that have the same attributes, making them indistinguishable from each other from the perspective of a particular attacker or observer",verbatim,pass,denominationFromContract,2,"muc tien hop dong bat buoc, doc NGUOC tu ham `denomination()`. Khac 0 nghia la hop dong TU CHOI moi lan nop sai muc"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,denominationFromContract,2,"kenh 1 - so tien. Hop dong bat buoc dung muc nay, doc nguoc bang `denomination()`"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,distinctAmounts,1 (2),kenh 1 - so muc tien khac nhau tren chuoi. Bang 1 la kenh nay khong con phan biet duoc ai
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,measuredBy,"runner, in this run","nguon cua ba o duoi: runner tu do luc chay, hay suy lai tu log da luu"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,walletReuseObserved,0,"kenh 2 - so lan MOT dia chi nhan tien hai lan tro len. Bang 0 la khong ghep duoc hai lan rut qua vi. Chan o tang CSDL bang A21, kiem boi poolAndWalletConstraints.test.ts"
