branch,run_at,git_commit,chain_id,criterion,criterion_name,verdict,evidence_name,value,meaning
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,1,Replay prevention,pass,usedNullifier,false (before withdrawal) -> true (after withdrawal),Whether the nullifier has been spent (answered by the contract)
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,1,Replay prevention,pass,withdraw1_txHash,0xd72e986a397b78b236684580c709a2b830b83e59f9e1473f683bc20098721948,"Transaction hash of the FIRST withdrawal, verifiable on chain"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,1,Replay prevention,pass,withdraw1_status,1 - transaction accepted by the EVM,Result of the first withdrawal: 1 = success
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,1,Replay prevention,pass,replay_txHash,0xc1d6f976ff365d1d0c96ae830818ad36f352b2bc9c7496a35fcbbfc67460f2f7,"Transaction hash of the SECOND withdrawal, same nullifier"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,1,Replay prevention,pass,replay_status,0 — Transaction has been reverted by the EVM:,Result of the second withdrawal: 0 = rejected by the contract
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,currentRoot,0x098b50423eb1b80e5a7fb520438bb4f17cbf6c9b9e6ebef7938342aa2df694fe,"Current Merkle root in effect, read from the contract"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,transactionHash,0xd72e986a397b78b236684580c709a2b830b83e59f9e1473f683bc20098721948,Transaction hash of the successful withdrawal
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,contractEvents,Deposit | Deposit | RootUpdated | CommitmentsPublished | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw | ClaimVerified | ClaimSettled | Withdraw,"Sequence of events emitted by the contract, in order"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,validRoot,"✓ the contract confirms this root was approved earlier, so anyone can check the withdrawal used a root the university had published",Whether the contract recognises this root as previously approved
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,usedNullifier,"✓ the contract reports this nullifier as spent, so the spend is visible to any reader",Whether the nullifier has been spent (answered by the contract)
