run_id,metric,N,mean
1,deploy_pool_gas,128,1979758
1,deploy_verifier_gas,128,3917103
1,update_root_gas,128,171255
1,verify_gas,128,460947.46875
1,verify_onchain_ms,128,539.965877
1,withdraw_gas,128,511177.6875
1,withdraw_ms,128,576.564002
1,verify_record_gas,128,544169.6875
1,verify_record_ms,128,572.640406
1,settle_gas,128,69625.0625
1,settle_ms,128,35.273577
1,witness_ms,128,41.429466
1,setup_ms,128,1582.3237
1,prove_ms,128,1030.360127
1,proof_generation_ms,128,1071.789593
1,verify_native_ms,128,6.219705
1,proof_bytes,128,3392
1,calldata_bytes,128,3520
1,tach_gas,128,613794.75
2,deploy_pool_gas,128,1979758
2,deploy_verifier_gas,128,3917103
2,update_root_gas,128,171255
2,verify_gas,128,460946.4375
2,verify_onchain_ms,128,533.905516
2,withdraw_gas,128,511176.65625
2,withdraw_ms,128,582.859914
2,verify_record_gas,128,544168.65625
2,verify_record_ms,128,579.473104
2,settle_gas,128,69625.0625
2,settle_ms,128,29.620292
2,witness_ms,128,58.889862
2,setup_ms,128,1498.6001
2,prove_ms,128,1018.08959
2,proof_generation_ms,128,1076.979452
2,verify_native_ms,128,6.302186
2,proof_bytes,128,3392
2,calldata_bytes,128,3520
2,tach_gas,128,613793.71875
3,deploy_pool_gas,128,1979758
3,deploy_verifier_gas,128,3917103
3,update_root_gas,128,171255
3,verify_gas,128,460949.8125
3,verify_onchain_ms,128,545.399861
3,withdraw_gas,128,511180.03125
3,withdraw_ms,128,590.580516
3,verify_record_gas,128,544172.03125
3,verify_record_ms,128,586.330416
3,settle_gas,128,69625.0625
3,settle_ms,128,28.685024
3,witness_ms,128,60.040491
3,setup_ms,128,1306.5048
3,prove_ms,128,1004.970343
3,proof_generation_ms,128,1065.010834
3,verify_native_ms,128,6.049798
3,proof_bytes,128,3392
3,calldata_bytes,128,3520
3,tach_gas,128,613797.09375
4,deploy_pool_gas,128,1979758
4,deploy_verifier_gas,128,3917103
4,update_root_gas,128,171255
4,verify_gas,128,460950.375
4,verify_onchain_ms,128,559.931048
4,withdraw_gas,128,511180.59375
4,withdraw_ms,128,595.71377
4,verify_record_gas,128,544172.59375
4,verify_record_ms,128,584.477289
4,settle_gas,128,69625.0625
4,settle_ms,128,34.323192
4,witness_ms,128,43.332157
4,setup_ms,128,1633.8582
4,prove_ms,128,1081.949121
4,proof_generation_ms,128,1125.281278
4,verify_native_ms,128,6.196251
4,proof_bytes,128,3392
4,calldata_bytes,128,3520
4,tach_gas,128,613797.65625
5,deploy_pool_gas,128,1979758
5,deploy_verifier_gas,128,3917103
5,update_root_gas,128,171255
5,verify_gas,128,460943.15625
5,verify_onchain_ms,128,573.273257
5,withdraw_gas,128,511173.375
5,withdraw_ms,128,612.845312
5,verify_record_gas,128,544165.375
5,verify_record_ms,128,605.091777
5,settle_gas,128,69625.0625
5,settle_ms,128,33.52289
5,witness_ms,128,42.743752
5,setup_ms,128,1505.1987
5,prove_ms,128,1079.763972
5,proof_generation_ms,128,1122.507723
5,verify_native_ms,128,6.380252
5,proof_bytes,128,3392
5,calldata_bytes,128,3520
5,tach_gas,128,613790.4375
6,deploy_pool_gas,128,1979758
6,deploy_verifier_gas,128,3917103
6,update_root_gas,128,171255
6,verify_gas,128,460948.40625
6,verify_onchain_ms,128,685.667011
6,withdraw_gas,128,511178.625
6,withdraw_ms,128,731.539432
6,verify_record_gas,128,544170.625
6,verify_record_ms,128,742.155455
6,settle_gas,128,69625.0625
6,settle_ms,128,35.40639
6,witness_ms,128,49.692048
6,setup_ms,128,1506.9522
6,prove_ms,128,1035.609984
6,proof_generation_ms,128,1085.302031
6,verify_native_ms,128,6.222325
6,proof_bytes,128,3392
6,calldata_bytes,128,3520
6,tach_gas,128,613795.6875
7,deploy_pool_gas,128,1979758
7,deploy_verifier_gas,128,3917103
7,update_root_gas,128,171255
7,verify_gas,128,460944.84375
7,verify_onchain_ms,128,566.633187
7,withdraw_gas,128,511175.0625
7,withdraw_ms,128,611.17659
7,verify_record_gas,128,544167.0625
7,verify_record_ms,128,615.953487
7,settle_gas,128,69625.0625
7,settle_ms,128,33.540455
7,witness_ms,128,62.026008
7,setup_ms,128,1607.5997
7,prove_ms,128,1044.100693
7,proof_generation_ms,128,1106.126701
7,verify_native_ms,128,6.288094
7,proof_bytes,128,3392
7,calldata_bytes,128,3520
7,tach_gas,128,613792.125
8,deploy_pool_gas,128,1979758
8,deploy_verifier_gas,128,3917103
8,update_root_gas,128,171255
8,verify_gas,128,460937.53125
8,verify_onchain_ms,128,555.098112
8,withdraw_gas,128,511167.75
8,withdraw_ms,128,586.61002
8,verify_record_gas,128,544159.75
8,verify_record_ms,128,601.176971
8,settle_gas,128,69625.0625
8,settle_ms,128,30.866585
8,witness_ms,128,60.720962
8,setup_ms,128,1321.9487
8,prove_ms,128,1017.966647
8,proof_generation_ms,128,1078.687609
8,verify_native_ms,128,6.250759
8,proof_bytes,128,3392
8,calldata_bytes,128,3520
8,tach_gas,128,613784.8125
9,deploy_pool_gas,128,1979758
9,deploy_verifier_gas,128,3917103
9,update_root_gas,128,171255
9,verify_gas,128,460954.6875
9,verify_onchain_ms,128,554.593432
9,withdraw_gas,128,511184.90625
9,withdraw_ms,128,586.17172
9,verify_record_gas,128,544176.90625
9,verify_record_ms,128,603.221252
9,settle_gas,128,69625.0625
9,settle_ms,128,30.688898
9,witness_ms,128,61.71305
9,setup_ms,128,1442.092
9,prove_ms,128,1036.287273
9,proof_generation_ms,128,1098.000323
9,verify_native_ms,128,6.338832
9,proof_bytes,128,3392
9,calldata_bytes,128,3520
9,tach_gas,128,613801.96875
10,deploy_pool_gas,128,1979758
10,deploy_verifier_gas,128,3917103
10,update_root_gas,128,171255
10,verify_gas,128,460950.75
10,verify_onchain_ms,128,557.688051
10,withdraw_gas,128,511180.96875
10,withdraw_ms,128,592.33035
10,verify_record_gas,128,544172.96875
10,verify_record_ms,128,600.27317
10,settle_gas,128,69625.0625
10,settle_ms,128,30.758192
10,witness_ms,128,61.226906
10,setup_ms,128,1303.3319
10,prove_ms,128,1022.308784
10,proof_generation_ms,128,1083.535691
10,verify_native_ms,128,6.264706
10,proof_bytes,128,3392
10,calldata_bytes,128,3520
