thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_d,onchain,d8,256,8,13,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d8,256,8,13,deploy_verifier_gas,moi_luot,20,20,4235887,0,4235887,4235887,gas,lap20
theo_d,onchain,d8,256,8,13,update_root_gas,moi_luot,20,20,270222,0,270222,270222,gas,lap20
theo_d,onchain,d8,256,8,13,verify_gas,moi_lan_do,20,5120,496602.573437,49.147124,496399,496771,gas,lap20
theo_d,onchain,d8,256,8,13,verify_onchain_ms,moi_lan_do,20,5120,605.43126,131.094736,436.641,2140.8477,ms,lap20
theo_d,onchain,d8,256,8,13,withdraw_gas,moi_lan_do,20,5120,546917.370313,49.780267,546704,547088,gas,lap20
theo_d,onchain,d8,256,8,13,withdraw_ms,moi_lan_do,20,5120,645.111436,137.65209,466.522,2938.358,ms,lap20
theo_d,onchain,d8,256,8,13,verify_record_gas,moi_lan_do,20,5120,579909.370313,49.780267,579696,580080,gas,lap20
theo_d,onchain,d8,256,8,13,verify_record_ms,moi_lan_do,20,5120,639.785053,152.713,460.0502,3718.1493,ms,lap20
theo_d,onchain,d8,256,8,13,settle_gas,moi_lan_do,20,5120,69624.546875,3.915217,69614,69626,gas,lap20
theo_d,onchain,d8,256,8,13,settle_ms,moi_lan_do,20,5120,30.231956,17.470696,15.5929,834.9277,ms,lap20
theo_d,onchain,d8,256,8,13,witness_ms,moi_lan_do,20,5120,57.78174,10.194824,26.0424,193.1255,ms,lap20
theo_d,onchain,d8,256,8,13,setup_ms,moi_luot,20,20,1398.4231,130.858745,1222.1868,1885.8379,ms,lap20
theo_d,onchain,d8,256,8,13,prove_ms,moi_lan_do,20,5120,1097.959022,80.143289,740.5627,2554.3041,ms,lap20
theo_d,onchain,d8,256,8,13,proof_generation_ms,moi_lan_do,20,5120,1155.740762,82.531032,766.6051,2639.8797,ms,lap20
theo_d,onchain,d8,256,8,13,verify_native_ms,moi_lan_do,20,5120,6.183137,1.040354,4.3519,30.4748,ms,lap20
theo_d,onchain,d8,256,8,13,proof_bytes,moi_luot,20,20,3808,0,3808,3808,B,lap20
theo_d,onchain,d8,256,8,13,calldata_bytes,moi_luot,20,20,3936,0,3936,3936,B,lap20
theo_d,onchain,d8,256,8,13,tach_gas,moi_lan_do,20,5120,649533.917188,50.44802,649322,649706,gas,lap20
