thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_d,onchain,d1,2,1,11,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d1,2,1,11,deploy_verifier_gas,moi_luot,20,20,4548152,0,4548152,4548152,gas,lap20
theo_d,onchain,d1,2,1,11,update_root_gas,moi_luot,20,20,73876,0,73876,73876,gas,lap20
theo_d,onchain,d1,2,1,11,verify_gas,moi_lan_do,20,40,532196.8,51.742558,532057,532309,gas,lap20
theo_d,onchain,d1,2,1,11,verify_onchain_ms,moi_lan_do,20,40,626.397985,81.036619,541.347,1014.0841,ms,lap20
theo_d,onchain,d1,2,1,11,withdraw_gas,moi_lan_do,20,40,582579.8,52.871979,582434,582698,gas,lap20
theo_d,onchain,d1,2,1,11,withdraw_ms,moi_lan_do,20,40,671.440052,115.684934,545.3006,1187.845,ms,lap20
theo_d,onchain,d1,2,1,11,verify_record_gas,moi_lan_do,20,40,615571.8,52.871979,615426,615690,gas,lap20
theo_d,onchain,d1,2,1,11,verify_record_ms,moi_lan_do,20,40,676.346743,128.016578,533.2985,1058.2287,ms,lap20
theo_d,onchain,d1,2,1,11,settle_gas,moi_luot,20,20,69626,0,69626,69626,gas,lap20
theo_d,onchain,d1,2,1,11,settle_ms,moi_lan_do,20,40,29.99499,11.69107,18.2814,80.4046,ms,lap20
theo_d,onchain,d1,2,1,11,witness_ms,moi_lan_do,20,40,37.82067,7.986787,31.5511,68.3134,ms,lap20
theo_d,onchain,d1,2,1,11,setup_ms,moi_luot,20,20,463.85362,61.775505,419.8046,672.5297,ms,lap20
theo_d,onchain,d1,2,1,11,prove_ms,moi_lan_do,20,40,606.335375,59.083247,531.3736,770.3891,ms,lap20
theo_d,onchain,d1,2,1,11,proof_generation_ms,moi_lan_do,20,40,644.156045,61.585533,563.5879,807.7154,ms,lap20
theo_d,onchain,d1,2,1,11,verify_native_ms,moi_lan_do,20,40,7.03012,0.894451,5.9615,9.5307,ms,lap20
theo_d,onchain,d1,2,1,11,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_d,onchain,d1,2,1,11,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_d,onchain,d1,2,1,11,tach_gas,moi_lan_do,20,40,685197.8,52.871979,685052,685316,gas,lap20
theo_d,onchain,d2,4,2,11,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d2,4,2,11,deploy_verifier_gas,moi_luot,20,20,5184639,0,5184639,5184639,gas,lap20
theo_d,onchain,d2,4,2,11,update_root_gas,moi_luot,20,20,75424,0,75424,75424,gas,lap20
theo_d,onchain,d2,4,2,11,verify_gas,moi_lan_do,20,80,603677.75,54.394131,603566,603794,gas,lap20
theo_d,onchain,d2,4,2,11,verify_onchain_ms,moi_lan_do,20,80,673.62839,79.804554,574.7147,1007.222,ms,lap20
theo_d,onchain,d2,4,2,11,withdraw_gas,moi_lan_do,20,80,654247.75,54.486208,654127,654367,gas,lap20
theo_d,onchain,d2,4,2,11,withdraw_ms,moi_lan_do,20,80,719.252898,86.850547,606.4758,1059.6178,ms,lap20
theo_d,onchain,d2,4,2,11,verify_record_gas,moi_lan_do,20,80,687239.75,54.486208,687119,687359,gas,lap20
theo_d,onchain,d2,4,2,11,verify_record_ms,moi_lan_do,20,80,727.692377,97.633405,596.7766,1220.7515,ms,lap20
theo_d,onchain,d2,4,2,11,settle_gas,moi_luot,20,20,69626,0,69626,69626,gas,lap20
theo_d,onchain,d2,4,2,11,settle_ms,moi_lan_do,20,80,30.233305,14.717817,16.9431,107.2263,ms,lap20
theo_d,onchain,d2,4,2,11,witness_ms,moi_lan_do,20,80,47.773751,10.81631,32.1942,78.6578,ms,lap20
theo_d,onchain,d2,4,2,11,setup_ms,moi_luot,20,20,513.062565,54.496664,462.0879,662.3573,ms,lap20
theo_d,onchain,d2,4,2,11,prove_ms,moi_lan_do,20,80,668.023701,50.11432,603.191,830.1452,ms,lap20
theo_d,onchain,d2,4,2,11,proof_generation_ms,moi_lan_do,20,80,715.797453,52.181148,653.8573,905.5423,ms,lap20
theo_d,onchain,d2,4,2,11,verify_native_ms,moi_lan_do,20,80,7.404243,0.886919,6.0601,9.6844,ms,lap20
theo_d,onchain,d2,4,2,11,proof_bytes,moi_luot,20,20,5056,0,5056,5056,B,lap20
theo_d,onchain,d2,4,2,11,calldata_bytes,moi_luot,20,20,5184,0,5184,5184,B,lap20
theo_d,onchain,d2,4,2,11,tach_gas,moi_lan_do,20,80,756865.75,54.486208,756745,756985,gas,lap20
theo_d,onchain,d3,8,3,12,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d3,8,3,12,deploy_verifier_gas,moi_luot,20,20,4232491,0,4232491,4232491,gas,lap20
theo_d,onchain,d3,8,3,12,update_root_gas,moi_luot,20,20,78520,0,78520,78520,gas,lap20
theo_d,onchain,d3,8,3,12,verify_gas,moi_lan_do,20,160,496561.425,48.467009,496362,496674,gas,lap20
theo_d,onchain,d3,8,3,12,verify_onchain_ms,moi_lan_do,20,160,582.529567,89.488293,478.3109,1086.4033,ms,lap20
theo_d,onchain,d3,8,3,12,withdraw_gas,moi_lan_do,20,160,546876.925,49.118974,546679,546991,gas,lap20
theo_d,onchain,d3,8,3,12,withdraw_ms,moi_lan_do,20,160,629.806929,107.551302,501.3095,1282.2883,ms,lap20
theo_d,onchain,d3,8,3,12,verify_record_gas,moi_lan_do,20,160,579868.925,49.118974,579671,579983,gas,lap20
theo_d,onchain,d3,8,3,12,verify_record_ms,moi_lan_do,20,160,634.861379,134.840195,496.8833,1319.7111,ms,lap20
theo_d,onchain,d3,8,3,12,settle_gas,moi_luot,20,20,69626,0,69626,69626,gas,lap20
theo_d,onchain,d3,8,3,12,settle_ms,moi_lan_do,20,160,27.669211,8.865843,16.8927,93.6052,ms,lap20
theo_d,onchain,d3,8,3,12,witness_ms,moi_lan_do,20,160,49.603441,10.428132,32.5086,77.929,ms,lap20
theo_d,onchain,d3,8,3,12,setup_ms,moi_luot,20,20,997.575365,160.644756,779.3275,1399.9772,ms,lap20
theo_d,onchain,d3,8,3,12,prove_ms,moi_lan_do,20,160,871.390601,84.935929,789.0751,1258.3755,ms,lap20
theo_d,onchain,d3,8,3,12,proof_generation_ms,moi_lan_do,20,160,920.994042,84.268178,837.6702,1308.4437,ms,lap20
theo_d,onchain,d3,8,3,12,verify_native_ms,moi_lan_do,20,160,6.465278,1.066399,5.2585,13.7138,ms,lap20
theo_d,onchain,d3,8,3,12,proof_bytes,moi_luot,20,20,3808,0,3808,3808,B,lap20
theo_d,onchain,d3,8,3,12,calldata_bytes,moi_luot,20,20,3936,0,3936,3936,B,lap20
theo_d,onchain,d3,8,3,12,tach_gas,moi_lan_do,20,160,649494.925,49.118974,649297,649609,gas,lap20
theo_d,onchain,d4,16,4,12,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d4,16,4,12,deploy_verifier_gas,moi_luot,20,20,4551392,0,4551392,4551392,gas,lap20
theo_d,onchain,d4,16,4,12,update_root_gas,moi_luot,20,20,84700,0,84700,84700,gas,lap20
theo_d,onchain,d4,16,4,12,verify_gas,moi_lan_do,20,320,532250.075,49.781913,532118,532394,gas,lap20
theo_d,onchain,d4,16,4,12,verify_onchain_ms,moi_lan_do,20,320,643.887219,178.840724,499.3832,2487.3733,ms,lap20
theo_d,onchain,d4,16,4,12,withdraw_gas,moi_lan_do,20,320,582636.825,49.861193,582507,582783,gas,lap20
theo_d,onchain,d4,16,4,12,withdraw_ms,moi_lan_do,20,320,680.387013,176.795155,529.1199,2624.1233,ms,lap20
theo_d,onchain,d4,16,4,12,verify_record_gas,moi_lan_do,20,320,615628.825,49.861193,615499,615775,gas,lap20
theo_d,onchain,d4,16,4,12,verify_record_ms,moi_lan_do,20,320,688.110025,184.485812,532.9222,2688.5681,ms,lap20
theo_d,onchain,d4,16,4,12,settle_gas,moi_lan_do,20,320,69625.25,2.909287,69614,69626,gas,lap20
theo_d,onchain,d4,16,4,12,settle_ms,moi_lan_do,20,320,28.963149,14.343675,15.5642,218.6971,ms,lap20
theo_d,onchain,d4,16,4,12,witness_ms,moi_lan_do,20,320,52.578032,10.262401,33.2674,85.6433,ms,lap20
theo_d,onchain,d4,16,4,12,setup_ms,moi_luot,20,20,1002.893,132.323091,856.0227,1347.0716,ms,lap20
theo_d,onchain,d4,16,4,12,prove_ms,moi_lan_do,20,320,940.275688,80.681787,845.2324,1501.1557,ms,lap20
theo_d,onchain,d4,16,4,12,proof_generation_ms,moi_lan_do,20,320,992.853721,84.084426,879.1467,1542.3538,ms,lap20
theo_d,onchain,d4,16,4,12,verify_native_ms,moi_lan_do,20,320,6.796178,1.099839,5.5766,20.4717,ms,lap20
theo_d,onchain,d4,16,4,12,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_d,onchain,d4,16,4,12,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_d,onchain,d4,16,4,12,tach_gas,moi_lan_do,20,320,685254.075,50.039677,685125,685401,gas,lap20
theo_d,onchain,d5,32,5,12,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d5,32,5,12,deploy_verifier_gas,moi_luot,20,20,4869633,0,4869633,4869633,gas,lap20
theo_d,onchain,d5,32,5,12,update_root_gas,moi_luot,20,20,97074,0,97074,97074,gas,lap20
theo_d,onchain,d5,32,5,12,verify_gas,moi_lan_do,20,640,567968.69375,54.981402,567785,568121,gas,lap20
theo_d,onchain,d5,32,5,12,verify_onchain_ms,moi_lan_do,20,640,657.433659,183.237376,532.7497,4763.5535,ms,lap20
theo_d,onchain,d5,32,5,12,withdraw_gas,moi_lan_do,20,640,618453.81875,55.689883,618260,618608,gas,lap20
theo_d,onchain,d5,32,5,12,withdraw_ms,moi_lan_do,20,640,695.219046,143.296162,562.1484,3482.1764,ms,lap20
theo_d,onchain,d5,32,5,12,verify_record_gas,moi_lan_do,20,640,651445.81875,55.689883,651252,651600,gas,lap20
theo_d,onchain,d5,32,5,12,verify_record_ms,moi_lan_do,20,640,697.179289,174.624531,548.2948,4422.5581,ms,lap20
theo_d,onchain,d5,32,5,12,settle_gas,moi_lan_do,20,640,69625.25,2.907009,69614,69626,gas,lap20
theo_d,onchain,d5,32,5,12,settle_ms,moi_lan_do,20,640,30.468535,24.887,16.0344,594.2389,ms,lap20
theo_d,onchain,d5,32,5,12,witness_ms,moi_lan_do,20,640,52.850798,9.609864,30.9328,86.6698,ms,lap20
theo_d,onchain,d5,32,5,12,setup_ms,moi_luot,20,20,1038.73336,108.606689,907.9674,1287.4182,ms,lap20
theo_d,onchain,d5,32,5,12,prove_ms,moi_lan_do,20,640,1041.286747,129.117216,883.8248,2310.9799,ms,lap20
theo_d,onchain,d5,32,5,12,proof_generation_ms,moi_lan_do,20,640,1094.137546,129.532326,916.6986,2373.4671,ms,lap20
theo_d,onchain,d5,32,5,12,verify_native_ms,moi_lan_do,20,640,6.885752,0.915369,5.1758,10.8854,ms,lap20
theo_d,onchain,d5,32,5,12,proof_bytes,moi_luot,20,20,4640,0,4640,4640,B,lap20
theo_d,onchain,d5,32,5,12,calldata_bytes,moi_luot,20,20,4768,0,4768,4768,B,lap20
theo_d,onchain,d5,32,5,12,tach_gas,moi_lan_do,20,640,721071.06875,56.156569,720878,721226,gas,lap20
theo_d,onchain,d6,64,6,12,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_d,onchain,d6,64,6,12,deploy_verifier_gas,moi_luot,20,20,5188455,0,5188455,5188455,gas,lap20
theo_d,onchain,d6,64,6,12,update_root_gas,moi_luot,20,20,121813,0,121813,121813,gas,lap20
theo_d,onchain,d6,64,6,12,verify_gas,moi_lan_do,20,1280,603718.09375,57.065623,603460,603892,gas,lap20
theo_d,onchain,d6,64,6,12,verify_onchain_ms,moi_lan_do,20,1280,686.743404,119.039036,519.0407,2824.0396,ms,lap20
theo_d,onchain,d6,64,6,12,withdraw_gas,moi_lan_do,20,1280,654289.21875,57.619188,654033,654465,gas,lap20
theo_d,onchain,d6,64,6,12,withdraw_ms,moi_lan_do,20,1280,723.956892,132.71462,552.3586,2734.7651,ms,lap20
theo_d,onchain,d6,64,6,12,verify_record_gas,moi_lan_do,20,1280,687281.21875,57.619188,687025,687457,gas,lap20
theo_d,onchain,d6,64,6,12,verify_record_ms,moi_lan_do,20,1280,730.266056,126.614793,538.6301,2333.5283,ms,lap20
theo_d,onchain,d6,64,6,12,settle_gas,moi_lan_do,20,1280,69625.0625,3.221677,69614,69626,gas,lap20
theo_d,onchain,d6,64,6,12,settle_ms,moi_lan_do,20,1280,32.829266,57.292354,16.2948,1734.7989,ms,lap20
theo_d,onchain,d6,64,6,12,witness_ms,moi_lan_do,20,1280,56.520515,10.614945,34.149,99.4405,ms,lap20
theo_d,onchain,d6,64,6,12,setup_ms,moi_luot,20,20,955.23999,99.088897,848.8817,1217.4932,ms,lap20
theo_d,onchain,d6,64,6,12,prove_ms,moi_lan_do,20,1280,1099.631189,95.750277,924.8275,1714.9658,ms,lap20
theo_d,onchain,d6,64,6,12,proof_generation_ms,moi_lan_do,20,1280,1156.151704,97.211048,958.9765,1791.4043,ms,lap20
theo_d,onchain,d6,64,6,12,verify_native_ms,moi_lan_do,20,1280,7.363651,2.068479,5.5833,72.7235,ms,lap20
