thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
theo_n,6,1,true,9,13,onchain,100,0,1979758,4554511,149689,532202,918.093600,582591,636.789500,615583,659.770700,69626,30.571100,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x1c96258a9b2c26cfaed73db9fb1a2eb3d955b55918f079e88ff70e470148c72c
theo_n,6,2,true,9,13,onchain,100,1,1979758,4554511,149689,532214,601.255100,582591,693.765500,615583,567.719800,69626,25.076300,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x05b48cc825368b2b4dd787a2f53879f43db527ad702df8991ee3bf035ff1f5da
theo_n,6,3,true,9,13,onchain,100,2,1979758,4554511,149689,532358,594.813100,582735,600.669800,615727,688.603300,69614,28.203200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x001185865c5651b90d250625413f765a8e104eb4950db96d263ef9018a27b426
theo_n,6,4,false,9,13,onchain,100,0,1979758,4554511,149689,532202,638.543800,582591,604.544400,615583,698.237200,69626,25.345200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x1c96258a9b2c26cfaed73db9fb1a2eb3d955b55918f079e88ff70e470148c72c
theo_n,6,5,false,9,13,onchain,100,1,1979758,4554511,149689,532214,621.749200,582591,554.276800,615583,687.716100,69626,29.576200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x05b48cc825368b2b4dd787a2f53879f43db527ad702df8991ee3bf035ff1f5da
theo_n,6,6,false,9,13,onchain,100,2,1979758,4554511,149689,532358,628.792000,582735,625.794100,615727,523.754300,69614,19.421000,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x001185865c5651b90d250625413f765a8e104eb4950db96d263ef9018a27b426
theo_n,6,7,false,9,13,onchain,100,3,1979758,4554511,149689,532262,583.700100,582651,590.912100,615643,675.729800,69626,31.373700,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x20c37bb559db3a04269a2ec77f23db2b4ab691b2964ab1993528c170ed38eeab
theo_n,6,8,false,9,13,onchain,100,4,1979758,4554511,149689,532214,588.169500,582603,602.517400,615595,613.315100,69626,24.251400,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x1b2d2ad81d95f7b2818c0c32ba21f151b553ef38de8930b4f9d5a805060aaa3d
theo_n,6,9,false,9,13,onchain,100,5,1979758,4554511,149689,532214,605.029400,582603,595.973800,615595,701.802100,69626,24.170100,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x29da0adb0831eafc36f38d567b31d7c24830127c04a24b371029ae5149c63471
theo_n,6,10,false,9,13,onchain,100,6,1979758,4554511,149689,532214,599.437600,582591,600.437200,615583,571.383000,69614,20.650800,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0c150521c95767799ad61568c931a95a97a6950833fe994ad367a800d031eb16
theo_n,6,11,false,9,13,onchain,100,7,1979758,4554511,149689,532310,563.848200,582699,644.599700,615691,635.896100,69626,17.607700,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0d79c03a4426ee62d54ae7195684ee235f1768bc51d2a30d2f86167e0e80727b
theo_n,6,12,false,9,13,onchain,100,8,1979758,4554511,149689,532310,547.380700,582687,611.614000,615679,571.789900,69614,21.769800,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0582d183d7fb0942ee98f600750770ffb6a2016dc4394042b148fee564113090
theo_n,6,13,false,9,13,onchain,100,9,1979758,4554511,149689,532286,537.403100,582663,617.684300,615655,650.037700,69626,19.453700,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x28f9bf2a60b0e548e35c5454b6884afd0c27fee8790acd4f29bd0f24fe413981
theo_n,6,14,false,9,13,onchain,100,10,1979758,4554511,149689,532334,800.986300,582723,586.861600,615715,601.060400,69626,23.579400,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x1e475966eed69b3ca65490ae3f8b036a5831e54b0e20e02d9b58ca6fa3235a27
theo_n,6,15,false,9,13,onchain,100,11,1979758,4554511,149689,532214,572.001800,582591,642.294300,615583,607.966700,69614,19.440900,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x088483e9e05d8e394629b35ed8254d2f42301d0568799b0003f9aa40f93e34f1
theo_n,6,16,false,9,13,onchain,100,12,1979758,4554511,149689,532322,619.163100,582711,607.400000,615703,635.652300,69626,23.076200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x09264304c31ad026c91ca672c1d2ec1d0194164dfb19ec5872a7b7d1d43209e6
theo_n,6,17,false,9,13,onchain,100,13,1979758,4554511,149689,532310,536.147400,582699,571.165700,615691,619.372500,69626,22.759900,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0c89f6cc097c6a8a27ea4574cda8f7857864ae78d5212c98a29b6065ae2aa89d
theo_n,6,18,false,9,13,onchain,100,14,1979758,4554511,149689,532298,564.008900,582687,606.816100,615679,683.994500,69626,27.094200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0a3fd41218dfba35e9f5323fe87b772c2c56384e8968f88adf102d2042a75d79
theo_n,6,19,false,9,13,onchain,100,15,1979758,4554511,149689,532346,580.066600,582723,578.485600,615715,625.125500,69614,19.944200,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0043ece70cc4fc4b52ba67c0e427581548f7359c86819590f9ed1622fb967e05
theo_n,6,20,false,9,13,onchain,100,16,1979758,4554511,149689,532370,518.068000,582747,590.936800,615739,741.219900,69614,26.152600,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x04307300f59db2cc0983bc9cc91dc3ffb2141ee361e95a9deae176f6c88744f7
theo_n,6,21,false,9,13,onchain,100,17,1979758,4554511,149689,532262,629.976000,582651,584.002800,615643,658.864100,69626,26.323000,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x1683c90bfba45254b2fd33ebdf921b22084b772c53f4289a030946c72b17ea6a
theo_n,6,22,false,9,13,onchain,100,18,1979758,4554511,149689,532214,617.123500,582603,564.779600,615595,642.067900,69626,30.785000,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x0c9e8acf9ef3abbbff7adf32b173c61d63603ddd6a0b1510b5ceb60a5e523986
theo_n,6,23,false,9,13,onchain,100,19,1979758,4554511,149689,532322,564.161600,582699,627.743300,615691,636.909500,69614,38.428000,0x2cb3c9e9303dda68e222491e64f33ef26956f54e9314db7a0389812dbc2acedb,0x257ec9ef28d58e8cc2974600c21aad77d40ecf7e7d2a24297afcc14c036b30a8
