run_id,metric,N,mean
1,deploy_pool_gas,30,1979758
1,deploy_verifier_gas,30,4554511
1,update_root_gas,30,95502
1,verify_gas,30,532294
1,verify_onchain_ms,30,598.342203
1,withdraw_gas,30,582681
1,withdraw_ms,30,622.17467
1,verify_record_gas,30,615673
1,verify_record_ms,30,616.547753
1,settle_gas,30,69625.2
1,settle_ms,30,26.057813
1,witness_ms,30,63.218477
1,setup_ms,30,1690.0542
1,prove_ms,30,1186.10293
1,proof_generation_ms,30,1249.321407
1,verify_native_ms,30,6.58359
1,proof_bytes,30,4224
1,calldata_bytes,30,4352
1,tach_gas,30,685298.2
2,deploy_pool_gas,30,1979758
2,deploy_verifier_gas,30,4554511
2,update_root_gas,30,95502
2,verify_gas,30,532290.4
2,verify_onchain_ms,30,620.91946
2,withdraw_gas,30,582677.4
2,withdraw_ms,30,646.475217
2,verify_record_gas,30,615669.4
2,verify_record_ms,30,629.635983
2,settle_gas,30,69625.2
2,settle_ms,30,23.077673
2,witness_ms,30,34.738437
2,setup_ms,30,1286.8771
2,prove_ms,30,965.710553
2,proof_generation_ms,30,1000.44899
2,verify_native_ms,30,5.07211
2,proof_bytes,30,4224
2,calldata_bytes,30,4352
2,tach_gas,30,685294.6
3,deploy_pool_gas,30,1979758
3,deploy_verifier_gas,30,4554511
3,update_root_gas,30,95502
3,verify_gas,30,532265.6
3,verify_onchain_ms,30,594.179317
3,withdraw_gas,30,582652.6
3,withdraw_ms,30,605.65498
3,verify_record_gas,30,615644.6
3,verify_record_ms,30,624.087513
3,settle_gas,30,69625.2
3,settle_ms,30,27.05037
3,witness_ms,30,50.01357
3,setup_ms,30,1622.3338
3,prove_ms,30,1134.89774
3,proof_generation_ms,30,1184.91131
3,verify_native_ms,30,6.319637
3,proof_bytes,30,4224
3,calldata_bytes,30,4352
3,tach_gas,30,685269.8
4,deploy_pool_gas,30,1979758
4,deploy_verifier_gas,30,4554511
4,update_root_gas,30,95502
4,verify_gas,30,532286.8
4,verify_onchain_ms,30,587.126467
4,withdraw_gas,30,582673.8
4,withdraw_ms,30,614.421653
4,verify_record_gas,30,615665.8
4,verify_record_ms,30,623.254363
4,settle_gas,30,69625.2
4,settle_ms,30,31.8909
4,witness_ms,30,57.878463
4,setup_ms,30,1683.5774
4,prove_ms,30,1133.974803
4,proof_generation_ms,30,1191.853267
4,verify_native_ms,30,6.244973
4,proof_bytes,30,4224
4,calldata_bytes,30,4352
4,tach_gas,30,685291
5,deploy_pool_gas,30,1979758
5,deploy_verifier_gas,30,4554511
5,update_root_gas,30,95502
5,verify_gas,30,532290.8
5,verify_onchain_ms,30,573.00341
5,withdraw_gas,30,582677.8
5,withdraw_ms,30,610.055207
5,verify_record_gas,30,615669.8
5,verify_record_ms,30,632.546867
5,settle_gas,30,69625.2
5,settle_ms,30,26.282477
5,witness_ms,30,57.664447
5,setup_ms,30,1661.4988
5,prove_ms,30,1137.891327
