mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
onchain,60,0,1979758,4554511,118668,532370,937.686000,582759,732.143600,615751,694.411000,69626,29.390200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0132b27cbf2a52517b1b012ddf72451ec2c65f79ea869e5307da210ba651cf0d
onchain,60,1,1979758,4554511,118668,532238,650.706000,582615,570.342800,615607,728.925200,69626,29.165700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x08c60c725bde58df72fb6f3decfb702e1a9c09167fc97b346cf789cde0c27a59
onchain,60,2,1979758,4554511,118668,532286,715.655800,582675,616.944200,615667,585.407500,69626,27.339100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1430d39d506001656be7a9532ecf29fa361837c320c9666cdc661665998a61c4
onchain,60,3,1979758,4554511,118668,532322,824.569300,582711,684.764300,615703,740.742400,69626,25.552100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x077dada64438b9c0395d971d16c9351f69292ec7859d22e83931d734c0b87a5d
onchain,60,4,1979758,4554511,118668,532286,621.714700,582675,993.390800,615667,1046.144600,69626,28.268500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x18c3d54820b67a973ef03d79933a5bc94b7e4f79b24c1b78e8a01412bd44d05c
onchain,60,5,1979758,4554511,118668,532226,909.545000,582615,1025.981600,615607,1176.118700,69626,52.590900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x03388464e62d52dfa97c0cadba6780472c2d154b038cfbfdbed563f64d1126fe
onchain,60,6,1979758,4554511,118668,532298,787.531000,582687,597.152100,615679,682.734700,69626,23.231600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0f4d68e4a2ea1f2e59b75210cb635a4288ae17c99a2bf5481c374659c82144af
onchain,60,7,1979758,4554511,118668,532358,558.055900,582747,725.534700,615739,673.977600,69626,27.351500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x274c0cd86f85599bfb3ea976628853456383bc199a0adb095c2c933208e9a7ee
onchain,60,8,1979758,4554511,118668,532310,586.036300,582687,653.145900,615679,625.519100,69614,35.319400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x25be1673f85b93d0a7a9dc09847796fec500caac2dfa35d913c4f491235ae993
onchain,60,9,1979758,4554511,118668,532298,650.019400,582675,742.307100,615667,647.845700,69626,27.428700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x13cedf12309258ffbdc374b0be6d21b167bf13ced50c97fe2a2c880ab2d1985e
onchain,60,10,1979758,4554511,118668,532322,561.509500,582711,603.663800,615703,675.739200,69626,31.519100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1748d139c75a469f49f7f766bd0b28288b4a28b902b99d46cf0f752e25290b6e
onchain,60,11,1979758,4554511,118668,532310,601.033700,582699,648.936700,615691,665.686500,69626,28.783200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x29a9dbf02cf662746c6ccd9dcc5a518e1f11c994df4fdf251c0cfb6e634e8bcb
onchain,60,12,1979758,4554511,118668,532310,594.917200,582699,710.520900,615691,571.692300,69626,23.588000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1ad07f64e113e83c596459989bac9e701a8fd9025ba3877d75e5d3683012a7f0
onchain,60,13,1979758,4554511,118668,532274,613.029200,582663,607.752400,615655,635.248200,69626,35.284600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x02e70ab10767ed357c86e5b61015fc3b6258c0292b2dd680a13999a419426d01
onchain,60,14,1979758,4554511,118668,532214,575.347500,582603,680.019800,615595,707.950000,69626,32.449000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0de4a45126e9aa6966291983d48a5f9f92dc9deacac3274ea965ef6536b58618
onchain,60,15,1979758,4554511,118668,532358,629.141900,582747,695.404100,615739,601.908900,69626,24.008200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x10b62ce7bd23b3a4d6b3b0343421896f337530b567494e2f8e7b27fe6cd5e50f
